1 1 50
1 2 52
1 3 53
1 4 49
1 5 48
1 6 52
1 7 51
1 8 52
1 9 50
1 10 47
1  1  49
1  2  52
1  3  50
1  4  51
1  5  49
1  6  50
1  7  51
1  8  50
1  9  51
1  10 46
1  1  50
1  2  51
1  3  50
1  4  50
1  5  48
1  6  50
1  7  51
1  8  49
1  9  50
1  10 49
2  1  50
2  2  51
2  3  54
2  4  48
2  5  48
2  6  52
2  7  51
2  8  53
2  9  51
2  10 46       
2  1  48
2  2  51
2  3  52
2  4  50
2  5  49
2  6  50
2  7  50
2  8  48
2  9  48
2  10 47    
2  1  51
2  2  51
2  3  51
2  4  51
2  5  48
2  6  50
2  7  50
2  8  50
2  9  49
2  10 48
